Year,GDP,,
1990,36144336769,,
1991,45466164978,,
1992,52131330700,,
1993,60603821967,,
1994,73688716391,,
1995,87812540788,,
1996,96293097895,,
1997,1.00124E+11,,
1998,85728224856,,
1999,86286866724,,
2000,96076521349,,
2001,89793815728,,
2002,92538355643,,
2003,97646382413,,
2004,1.15034E+11,,
2005,1.27808E+11,,
2006,1.48627E+11,,
2007,1.80942E+11,,
2008,1.93617E+11,,
2009,1.9415E+11,,
2010,2.39808E+11,,
2011,2.79357E+11,,
2012,2.95093E+11,,
2013,3.07576E+11,,
2014,3.14864E+11,,
2015,3.07999E+11,,
2016,3.1903E+11,,
2017,3.43273E+11,,
2018,3.7687E+11,,
2019,3.76837E+11,,
2020,3.48392E+11,,
2021,4.23797E+11,,
,,,
